SKU,BRANCH,STOCK
00E10035,001,0.00
00E10035,004,0.00
00E10036,001,1.00
00E10048,001,1.00
00E10049,007,0.00
00E10051,001,0.00
00E10052,001,0.00
00E10054,001,0.00
00E10054,004,2.00
00E10055,001,0.00
00E10057,001,0.00
00E10057,004,2.00
00E10058,001,0.00
00E10060,001,1.00
00E10060,004,2.00
00E10061,001,0.00
00E10061,004,0.00
00E10063,001,0.00
00E10063,004,2.00
00E10064,001,1.00
00E10069,001,3.00
00E10069,004,2.00
00E10069,006,1.00
00E10069,007,2.00
00E10071,001,2.00
00E10071,004,2.00
00E10071,007,2.00
00E10073,007,0.00
00E10074,001,2.00
00E10074,004,2.00
00E10074,007,0.00
00E10076,001,2.00
00E10076,004,1.00
00E10077,001,4.00
00E10077,004,1.00
00E10077,007,0.00
00E10079,001,0.00
00E10079,003,0.00
00E10079,004,1.00
00E10080,001,0.00
00E10080,004,0.00
00E10080,007,0.00
00E10082,001,2.00
00E10082,003,0.00
00E10082,004,0.00
00E10083,001,2.00
00E10083,003,0.00
00E10083,004,0.00
00E10083,007,0.00
00E10085,001,3.00
00E10085,003,1.00
00E10085,004,1.00
00E10086,001,1.00
00E10086,003,0.00
00E10086,004,1.00
00E10088,001,3.00
00E10088,003,1.00
00E10088,004,2.00
00E10089,001,2.00
00E10089,004,1.00
00E10091,001,3.00
00E10091,004,3.00
00E10092,001,4.00
00E10093,001,0.00
00E15003,001,1.00
00E15003,004,1.00
00E15003,006,1.00
00E15003,007,1.00
00E15004,001,4.00
00E15004,004,2.00
00E15004,007,2.00
00E15005,001,2.00
00E15005,004,0.00
00E15005,007,0.00
00E15006,001,4.00
00E15006,004,0.00
00E15006,007,0.00
00E15007,001,0.00
00E15007,004,0.00
00E15007,007,0.00
00E15008,001,0.00
00E15008,004,0.00
00E15008,007,0.00
010111020002001,001,0.00
010111020002001,006,2.00
010111020002001,007,0.00
010111270003001,001,0.00
010111270003001,006,2.00
010111GS0002001,001,1.00
010111GS0002001,007,0.00
010111GS0004001,001,0.00
010111GS0004001,003,0.00
010111GS0004001,004,0.00
010118010002001,001,50.00
010118010002001,003,0.00
010118010002001,004,0.00
010118010002001,007,4.00
010118020002001,001,0.00
010118020002001,003,2.00
010118020002001,004,0.00
010118020002001,007,1.00
010118190002001,003,13.00
010118190002001,004,0.00
010118260002001,001,0.00
010118260002001,003,0.00
010118260002001,007,0.00
010301020002001,001,1.00
010301020002001,003,2.00
010301020002001,004,7.00
010301020002001,006,4.00
010301020002001,007,-1.00
010301190002001,001,0.00
010301190002001,003,1.00
